replicate,model_boot_mean,scenario_cluster_model_weighted_boot_mean,scenario_simple_boot_mean
127,0.7538981679194268,0.7325747045446646,0.7216196985701929
128,0.755284987467139,0.7275722459427209,0.7416930891452679
129,0.7557983111621857,0.7088877110589229,0.8122620339781296
130,0.7340254111558435,0.8259748992485273,0.7083846977102569
131,0.739520180268452,0.7982434015722497,0.7483008776700466
132,0.7503947429891633,0.7571407115706603,0.7313069455159006
133,0.7457432493966648,0.7748948741467513,0.7186435720593953
134,0.7386420602126423,0.7217048396112331,0.7215287174330586
135,0.7417015272198343,0.7500785882137342,0.7569914087016624
136,0.7425615340701762,0.7307779795202911,0.7550678253049361
137,0.7383974962940177,0.7616832020200418,0.7589805037017525
138,0.7118078983620644,0.7635165341428527,0.7390377053549757
139,0.7560645874190637,0.7318361858616222,0.7464732360899194
140,0.7488964995850598,0.7370040254067399,0.7526262240617863
141,0.7518146684107092,0.7589003780690463,0.7286854949473179
142,0.7444768288502553,0.7354941750475537,0.7442053944942009
143,0.7358645601690846,0.7010027436465874,0.763059113325444
144,0.7416627690760638,0.7368215956054451,0.7441124744976236
145,0.7551900500984894,0.7309260794745571,0.7423330874788616
146,0.7386783166436157,0.7449220501777493,0.7329777553846968
147,0.7412510416926288,0.7202278554203837,0.709056378203267
148,0.7368702628716748,0.7400668919348534,0.7080538046395735
149,0.7564966555706893,0.7414114320190793,0.7054752221499534
150,0.7664689054919825,0.7552556723197626,0.7218677585161464
151,0.7505007551937884,0.7227874651984512,0.7430757002135914
152,0.7648425444959821,0.7568770343950616,0.7547377647240644
153,0.7562056255627153,0.7564549609883693,0.7233000714450728
154,0.7503298577467776,0.7636000157381739,0.7183771147308906
155,0.7512958453824021,0.7180217554300723,0.7271259127367523
156,0.7457646384354935,0.7616144976921124,0.7481531407098058
157,0.757471982847591,0.746173448700204,0.7350081946989329
158,0.7328965772263494,0.735718446327048,0.7015876765423757
159,0.7486137441484761,0.7354669120242784,0.737835697424171
160,0.7351457971506358,0.7778411507131271,0.7475506483808337
161,0.7390135940901008,0.7728918751417632,0.7400858646611946
162,0.7364610525132363,0.7804862580571147,0.7799165123822043
163,0.7335678795941081,0.7241896677446129,0.7410924109423893
164,0.7575701796520514,0.7578894636975309,0.7271652530399253
165,0.7367758153616142,0.7492742588029531,0.7088975380415025
166,0.7328413719226943,0.7477824059649786,0.7069908471052812
167,0.7500389458805967,0.7752928664071271,0.7477668088327547
168,0.7495206034477564,0.6915199325680199,0.726158012646695
169,0.7589751288027817,0.7544647023764182,0.7362215065803674
170,0.741073098211088,0.797318224198806,0.7234055783109739
171,0.7376105330707452,0.7607089565234816,0.7469260938529395
172,0.7686133284830182,0.7234386387387983,0.731612087829993
173,0.7607166797488221,0.7458874860897026,0.7118412054298002
174,0.7555799753943132,0.7587236849914885,0.7130540252913693
175,0.7533003406248536,0.7763041735908882,0.7334839635363647
176,0.7644474431663226,0.7797336415942802,0.7267308233781584
177,0.7380311592945918,0.7204514641281478,0.7364312532263909
178,0.7333835266502261,0.7838299961923715,0.7309749612419243
179,0.7558250199084046,0.7188273861093516,0.7948273640178989
180,0.7458812881423966,0.7472669135670853,0.7316002572100805
181,0.7457940242778136,0.7412520602986523,0.7355592507561198
182,0.7495323426125893,0.7143771049724518,0.7378211671112261
183,0.7486728424200851,0.7754198080128285,0.7502672150550308
184,0.7472940516956854,0.7973438918058571,0.7771578295480438
185,0.7600560669029269,0.7522176645973737,0.7395129842029781
186,0.7564777508050569,0.7659715506279272,0.7646693609109148
